#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   7 ADC                          169                0
  10 ADD                        13559                0
  13 ADDSD                          5                0
  14 ADDSS                          6                0
  17 ADD_LOCK                       6                0
  33 AND                         5477                0
  35 ANDNPD                         1                0
  36 ANDNPS                         1                0
  37 ANDPD                         13                0
  38 ANDPS                          5                0
  67 BSF                          248                0
  68 BSR                           97                0
  69 BSWAP                        169                0
  70 BT                            85                0
  71 BTC                            2                0
  73 BTR                           15                0
  75 BTS                           35                0
  79 CALL_NEAR                  15717                0
  97 CDQ                           13                0
  98 CDQE                         478                0
 117 CLD                            7                0
 145 CMP                        24418                0
 164 CMPSD_XMM                      1                0
 169 CMPXCHG                      272                0
 174 CMPXCHG_LOCK                 286                0
 176 COMISD                        11                0
 178 CPUID                         27                0
 179 CQO                           17                0
 209 CVTSI2SD                       6                0
 210 CVTSI2SS                       3                0
 211 CVTSS2SD                       1                0
 218 CVTTSS2SI                      1                0
 220 CWDE                           1                0
 223 DEC                           11                0
 224 DEC_LOCK                       3                0
 225 DIV                          125                0
 228 DIVSD                          7                0
 229 DIVSS                          4                0
 234 ENCLU                          1                0
 248 FABS                           8                0
 249 FADD                           2                0
 250 FADDP                          2                0
 253 FCHS                          10                0
 263 FCOMI                          9                0
 264 FCOMIP                         2                0
 270 FDIV                           1                0
 271 FDIVP                          2                0
 283 FILD                           3                0
 291 FLD                          127                0
 292 FLD1                           5                0
 293 FLDCW                          1                0
 294 FLDENV                         6                0
 300 FLDZ                          12                0
 301 FMUL                           8                0
 302 FMULP                         14                0
 307 FNSTCW                        11                0
 308 FNSTENV                        5                0
 309 FNSTSW                         7                0
 316 FSCALE                         1                0
 322 FSTP                         110                0
 325 FSUBP                          1                0
 327 FSUBRP                         2                0
 330 FUCOMI                         5                0
 331 FUCOMIP                       10                0
 334 FWAIT                          3                0
 335 FXAM                           7                0
 336 FXCH                          17                0
 337 FXRSTOR                        1                0
 339 FXSAVE                         1                0
 350 HLT                           15                0
 354 IDIV                          24                0
 355 IMUL                         414                0
 357 INC                           79                0
 359 INCSSPQ                        7                0
 360 INC_LOCK                       5                0
 380 JB                          1268                0
 381 JBE                         2958                0
 384 JL                           284                0
 385 JLE                         1541                0
 386 JMP                        17737                0
 389 JNB                         1710                0
 390 JNBE                        2508                0
 391 JNL                          177                0
 392 JNLE                        1212                0
 393 JNO                            1                0
 395 JNS                          271                0
 396 JNZ                        15811                0
 397 JO                             8                0
 398 JP                            14                0
 399 JRCXZ                          2                0
 400 JS                           797                0
 401 JZ                         19832                0
 455 LDDQU                        572                0
 456 LDMXCSR                        2                0
 459 LEA                        23927                0
 460 LEAVE                          7                0
 462 LFENCE                        17                0
 479 LSL                            1                0
 499 MOV                       120171                0
 500 MOVAPD                        26                0
 501 MOVAPS                      5822                0
 502 MOVBE                          4                0
 503 MOVD                          90                0
 508 MOVDQA                      4766                0
 509 MOVDQU                      2770                0
 510 MOVHLPS                        1                0
 511 MOVHPD                        20                0
 512 MOVHPS                        55                0
 514 MOVLPD                       102                0
 516 MOVMSKPD                       6                0
 517 MOVMSKPS                       6                0
 518 MOVNTDQ                       90                0
 526 MOVQ                         421                0
 528 MOVSB                          1                0
 530 MOVSD_XMM                    117                0
 533 MOVSQ                          1                0
 534 MOVSS                         64                0
 536 MOVSX                        736                0
 537 MOVSXD                      2598                0
 539 MOVUPS                      1259                0
 540 MOVZX                       4956                0
 544 MUL                          134                0
 547 MULSD                         20                0
 548 MULSS                         15                0
 552 NEG                          699                0
 554 NOP                        20158                0
 563 NOT                          224                0
 565 OR                          2821                0
 566 ORPD                           4                0
 567 ORPS                           3                0
 568 OR_LOCK                        1                0
 580 PADDB                          4                0
 581 PADDD                         14                0
 582 PADDQ                         77                0
 588 PALIGNR                     1902                0
 589 PAND                        1285                0
 590 PANDN                          4                0
 591 PAUSE                          8                0
 599 PCMPEQB                     2437                0
 600 PCMPEQD                      211                0
 607 PCMPGTB                     1200                0
 608 PCMPGTD                        7                0
 611 PCMPISTRI                    213                0
 620 PEXTRW                        14                0
 653 PINSRW                         7                0
 659 PMAXUB                        18                0
 665 PMINUB                       422                0
 666 PMINUD                         3                0
 668 PMOVMSKB                    1968                0
 688 PMULUDQ                        6                0
 689 POP                         8944                0
